iter	RMSE
0	13.88952398
1	13.48300861
2	13.10739792
3	12.74232381
4	12.35557702
5	12.04023991
6	11.75341389
7	11.47240955
8	11.15650676
9	10.84425602
10	10.54005038
11	10.29288992
12	10.05127139
13	9.77711028
14	9.508457807
15	9.269882045
16	9.042420104
17	8.866040681
18	8.68356767
19	8.458958321
20	8.249749991
21	8.05160168
22	7.855064264
23	7.675527279
24	7.503196483
25	7.345122861
26	7.198418473
27	7.046039349
28	6.895508899
29	6.771003461
30	6.630974003
31	6.508096915
32	6.398136807
33	6.285125059
34	6.170063399
35	6.060209651
36	5.960047055
37	5.867204501
38	5.772036295
39	5.67331302
40	5.589784996
41	5.514792196
42	5.434490863
43	5.366931195
44	5.302785523
45	5.22348303
46	5.167730105
47	5.102992145
48	5.050252881
49	4.99575554
50	4.946792834
51	4.887926808
52	4.848052123
53	4.800386408
54	4.760557717
55	4.720426688
56	4.678369739
57	4.634660483
58	4.593975167
59	4.556618333
60	4.522188172
61	4.488616041
62	4.463306313
63	4.43277637
64	4.404198976
65	4.376319625
66	4.343948099
67	4.318897723
68	4.293814439
69	4.2724897
70	4.254468275
71	4.231500389
72	4.21059601
73	4.188206562
74	4.168879311
75	4.147321824
76	4.134101044
77	4.117345816
78	4.102950931
79	4.087474878
80	4.072471384
81	4.058366829
82	4.045302815
83	4.03696339
84	4.021477337
85	4.007787691
86	3.993333864
87	3.981628322
88	3.970280565
89	3.962632276
90	3.952506164
91	3.940912903
92	3.930021232
93	3.919453183
94	3.908961306
95	3.900756742
96	3.891693195
97	3.879789543
98	3.872371148
99	3.865294119
100	3.855488769
101	3.849444593
102	3.840809121
103	3.834601034
104	3.827478991
105	3.822449877
106	3.817061566
107	3.812351389
108	3.804755955
109	3.797268528
110	3.79140266
111	3.783616735
112	3.779237604
113	3.773727176
114	3.767435232
115	3.760499629
116	3.754091064
117	3.748630303
118	3.742880565
119	3.73809541
120	3.733720602
121	3.726967466
122	3.723951692
123	3.718600731
124	3.71112132
125	3.703347727
126	3.698901673
127	3.694549537
128	3.689301556
129	3.683066888
130	3.678952263
131	3.675028252
132	3.670882631
133	3.664184215
134	3.657126148
135	3.653942322
136	3.650286978
137	3.643117651
138	3.638506588
139	3.636647714
140	3.633373813
141	3.628410316
142	3.624355485
143	3.621437598
144	3.617729173
145	3.614583909
146	3.611698247
147	3.605053188
148	3.602149177
149	3.599276691
150	3.595225151
151	3.590166369
152	3.585998836
153	3.581376757
154	3.576067074
155	3.572850045
156	3.569255373
157	3.566902961
158	3.564000428
159	3.560365969
160	3.555748196
161	3.554491361
162	3.550699885
163	3.547241242
164	3.54310091
165	3.540661892
166	3.536979539
167	3.534882064
168	3.532781892
169	3.530615563
170	3.527124862
171	3.524229318
172	3.521832
173	3.51929142
174	3.513784207
175	3.509286432
176	3.507347179
177	3.502771131
178	3.498677281
179	3.494446034
180	3.490957109
181	3.488822037
182	3.486661142
183	3.483806367
184	3.480355072
185	3.477942539
186	3.474899582
187	3.472970178
188	3.470884625
189	3.467248136
190	3.464476089
191	3.462556739
192	3.460438141
193	3.458089642
194	3.456443636
195	3.454810503
196	3.451557169
197	3.449183385
198	3.445736144
199	3.44345739
200	3.44098282
201	3.437897924
202	3.433866251
203	3.431330445
204	3.429290951
205	3.427994452
206	3.425690321
207	3.424957827
208	3.422124223
209	3.420183287
210	3.418785489
211	3.416566482
212	3.414387897
213	3.413211933
214	3.412067028
215	3.411110612
216	3.406195104
217	3.404996094
218	3.40319812
219	3.400280257
220	3.39855732
221	3.396939451
222	3.396215898
223	3.392119967
224	3.389173638
225	3.388451047
226	3.386669712
227	3.384679772
228	3.383193385
229	3.381757324
230	3.380092927
231	3.376533105
232	3.370032058
233	3.369051636
234	3.365709588
235	3.363067308
236	3.360463743
237	3.359181233
238	3.353508722
239	3.352682009
240	3.349354201
241	3.347650712
242	3.34365306
243	3.341830859
244	3.338523489
245	3.335786584
246	3.335032283
247	3.333348114
248	3.329782395
249	3.328318514
250	3.324916694
251	3.322515488
252	3.322059217
253	3.320943878
254	3.31771875
255	3.311715944
256	3.30814896
257	3.306240468
258	3.305661609
259	3.302387679
260	3.300319672
261	3.29889499
262	3.296838316
263	3.294913158
264	3.294136636
265	3.291386616
266	3.289077001
267	3.286911613
268	3.285111985
269	3.284741855
270	3.279077024
271	3.274260799
272	3.272734454
273	3.268319279
274	3.26767441
275	3.26707292
276	3.264987714
277	3.26324167
278	3.258886407
279	3.258545551
280	3.258074248
281	3.253394394
282	3.250055751
283	3.249730275
284	3.245350152
285	3.242210078
286	3.241818668
287	3.23921264
288	3.238935702
289	3.236973327
290	3.232464137
291	3.230364253
292	3.224905164
293	3.219844725
294	3.215502104
295	3.214089567
296	3.213529427
297	3.211046186
298	3.210799133
299	3.208089128
300	3.20483226
301	3.202913752
302	3.202150188
303	3.201558054
304	3.197095551
305	3.195397626
306	3.190150797
307	3.189918489
308	3.183719428
309	3.180615447
310	3.179177143
311	3.177685956
312	3.172619971
313	3.172393906
314	3.169447441
315	3.167919269
316	3.167669246
317	3.165078496
318	3.162920502
319	3.162653403
320	3.159717358
321	3.157768054
322	3.157557091
323	3.154146013
324	3.151458787
325	3.151251437
326	3.148636234
327	3.143895041
328	3.139230597
329	3.13906054
330	3.138789336
331	3.138592758
332	3.136864581
333	3.136118305
334	3.133238549
335	3.13081029
336	3.126153378
337	3.123212281
338	3.122140779
339	3.118622062
340	3.117768335
341	3.11553809
342	3.113705673
343	3.111398281
344	3.108016928
345	3.105707612
346	3.103035849
347	3.10092492
348	3.100140959
349	3.095760823
350	3.09262317
351	3.091396706
352	3.088267434
353	3.085042947
354	3.083845059
355	3.080659453
356	3.079361565
357	3.076979729
358	3.076607038
359	3.074907048
360	3.073220571
361	3.071170965
362	3.068144551
363	3.066008597
364	3.06372228
365	3.060482999
366	3.059070674
367	3.055605293
368	3.053079087
369	3.050219151
370	3.047062946
371	3.044115346
372	3.043729263
373	3.041165163
374	3.037279179
375	3.035554295
376	3.035404596
377	3.034631064
378	3.033677965
379	3.033327913
380	3.033175374
381	3.030434865
382	3.029031586
383	3.026056018
384	3.023121029
385	3.020700628
386	3.016897584
387	3.013939039
388	3.013521073
389	3.009803211
390	3.007511566
391	3.006909372
392	3.005838422
393	3.005704163
394	3.004426931
395	3.000913526
396	3.000724911
397	3.000340813
398	2.999710122
399	2.998017667
400	2.99651845
401	2.995226532
402	2.990608848
403	2.989233805
404	2.988326748
405	2.984768421
406	2.98462181
407	2.982045389
408	2.979549519
409	2.975764499
410	2.973637213
411	2.972027636
412	2.969965828
413	2.966126436
414	2.964931622
415	2.964006582
416	2.963321929
417	2.960772422
418	2.959471218
419	2.958413162
420	2.956733466
421	2.953503637
422	2.952350106
423	2.951024335
424	2.948701728
425	2.947112501
426	2.946721683
427	2.946588595
428	2.945044857
429	2.944050151
430	2.941708314
431	2.937751471
432	2.937437218
433	2.936823129
434	2.933958854
435	2.932015181
436	2.929795037
437	2.927287652
438	2.926451591
439	2.923363295
440	2.919719963
441	2.916639802
442	2.914648916
443	2.912370093
444	2.90990272
445	2.906089117
446	2.901816552
447	2.898991957
448	2.898396427
449	2.895591786
450	2.894376743
451	2.89368954
452	2.892969785
453	2.891745833
454	2.891630498
455	2.890747526
456	2.888041766
457	2.884467574
458	2.882936345
459	2.880697142
460	2.880585893
461	2.878735639
462	2.878077138
463	2.877006342
464	2.874985067
465	2.870956634
466	2.868126934
467	2.865944837
468	2.865210035
469	2.865109731
470	2.863314491
471	2.861118224
472	2.857963071
473	2.857652385
474	2.855383913
475	2.852955014
476	2.852850017
477	2.849608583
478	2.846900399
479	2.845050505
480	2.841698454
481	2.83845831
482	2.838301223
483	2.8381908
484	2.838082607
485	2.835788873
486	2.833248046
487	2.833148022
488	2.830446531
489	2.8303464
490	2.827860177
491	2.82591456
492	2.82580864
493	2.82416937
494	2.821656476
495	2.818788759
496	2.817709976
497	2.816684461
498	2.814904962
499	2.814804342
500	2.813215708
501	2.811235285
502	2.811136057
503	2.810764719
504	2.810632581
505	2.80955487
506	2.807906936
507	2.805950419
508	2.804684933
509	2.803366704
510	2.799060503
511	2.797761448
512	2.796129214
513	2.79430061
514	2.793412532
515	2.792350807
516	2.790696724
517	2.790598799
518	2.788134125
519	2.788043369
520	2.784878359
521	2.784064142
522	2.778980086
523	2.774535902
524	2.770166218
525	2.768155282
526	2.766551152
527	2.763749853
528	2.762016111
529	2.760916286
530	2.75757738
531	2.756164984
532	2.753727795
533	2.752478113
534	2.750943452
535	2.749970311
536	2.748150427
537	2.745631494
538	2.742383559
539	2.740842437
540	2.739305235
541	2.736529042
542	2.734135108
543	2.731425606
544	2.729585365
545	2.727819618
546	2.725013443
547	2.723432686
548	2.720986217
549	2.720897165
550	2.717415507
551	2.71596867
552	2.715884456
553	2.71447758
554	2.712411237
555	2.712330224
556	2.712228937
557	2.709805675
558	2.707755516
559	2.707643761
560	2.707573556
561	2.704427568
562	2.702265115
563	2.700611208
564	2.698841478
565	2.697000146
566	2.69544525
567	2.692116264
568	2.688806929
569	2.686974821
570	2.685753276
571	2.684733754
572	2.682900977
573	2.681404913
574	2.680465286
575	2.678608072
576	2.677489356
577	2.674613188
578	2.670591954
579	2.668603714
580	2.668519566
581	2.668434547
582	2.667006752
583	2.66476829
584	2.663008327
585	2.662000321
586	2.660195583
587	2.658325873
588	2.655266415
589	2.654162693
590	2.653302449
591	2.651729073
592	2.650014476
593	2.648208681
594	2.648122335
595	2.646529944
596	2.645666733
597	2.642465424
598	2.640529806
599	2.638202798
600	2.635417143
601	2.634497423
602	2.632126882
603	2.629618583
604	2.629517603
605	2.627290597
606	2.625669786
607	2.625184107
608	2.621737705
609	2.620577871
610	2.619162991
611	2.617624568
612	2.615522711
613	2.614876004
614	2.614775389
615	2.612494658
616	2.610519714
617	2.607536641
618	2.605544493
619	2.604022613
620	2.603034573
621	2.602934497
622	2.602864587
623	2.600552689
624	2.5986315
625	2.597725825
626	2.597023019
627	2.594701274
628	2.593972266
629	2.591826278
630	2.590181137
631	2.587944362
632	2.586194407
633	2.58359032
634	2.582398712
635	2.581099628
636	2.578385673
637	2.577943294
638	2.575538825
639	2.574261179
640	2.573459121
641	2.571813741
642	2.571098646
643	2.569724054
644	2.569651887
645	2.568707313
646	2.568623164
647	2.567887984
648	2.565794801
649	2.564096553
650	2.56191093
651	2.56048969
652	2.558565393
653	2.557125506
654	2.554272881
655	2.551209395
656	2.550139017
657	2.549392028
658	2.547034644
659	2.546974763
660	2.545673189
661	2.543733516
662	2.543250407
663	2.541936088
664	2.539414368
665	2.539345003
666	2.538388452
667	2.535435428
668	2.535372727
669	2.533365186
670	2.53026378
671	2.528543525
672	2.52647521
673	2.525593296
674	2.523376287
675	2.523311605
676	2.522317399
677	2.521981028
678	2.520957582
679	2.519731554
680	2.519069713
681	2.517340579
682	2.514595926
683	2.514350111
684	2.51223448
685	2.510696119
686	2.507948281
687	2.50648232
688	2.505270066
689	2.505213267
690	2.504098861
691	2.504019876
692	2.502385851
693	2.501595387
694	2.499410535
695	2.498227703
696	2.49660617
697	2.494016875
698	2.4916412
699	2.488978624
700	2.488015296
701	2.487457989
702	2.485947784
703	2.484705544
704	2.480645487
705	2.477696464
706	2.477543047
707	2.476339299
708	2.474265706
709	2.47095841
710	2.469769635
711	2.468388636
712	2.466411927
713	2.466343137
714	2.465492068
715	2.464097074
716	2.46105984
717	2.459878598
718	2.45927244
719	2.457639361
720	2.45687978
721	2.454173115
722	2.452472878
723	2.449821536
724	2.448915083
725	2.448274835
726	2.447025367
727	2.446645678
728	2.446010552
729	2.445195626
730	2.442953978
